PAÍS,ACRÓNIMO,CATEGORÍA,NOTICIA,IMPACTO,FECHA,LINK
ESTADOS UNIDOS,FBI,Ciberinteligencia,FBI investigates ex-U.S. Counterterrorism Center head Joe Kent for alleged leaks - Axios,MEDIO,19/03 7:54,https://news.google.com/rss/articles/CBMickFVX3lxTFBQX2FieWhDaC1YcTJramkwVFFfc3pQNm5QNFBvWVpuY1Z0YWxsc0pJNVIyQlRlWWdibzlsSV9zaDlZcUw0XzJDMEkzZ1J2cUpOT3ZFSm42SGFQcmVHODlNQkNLRkozREozZjc4b0ladlhqdw?oc=5
ESTADOS UNIDOS,FBI,Ciberinteligencia,"FBI investigating whether departed counterterrorism official leaked classified info, source says - WLKY",MEDIO,19/03 1:30,https://news.google.com/rss/articles/CBMilgFBVV95cUxQVzdGOG1ERjJ3UGFRblZOSmdJQ2l1WjBDMFpSN3oxYkw5LXVNSEtTWjctamJ2eFRyRWVXLUtzUXRhbjBoMnBaM3VvYkladlhDTW9Pd0U3Vzl0YjhfbkpaT0RXdmp5NUg2cDdhZzlkRGtfM1lDcWw2Ny1JQVlNZVJSbFY2N2dMOHdtRGVDSHp1MDVSQzlBakE?oc=5
ESTADOS UNIDOS,FBI,Inteligencia,FBI Opens Office in Ecuador as U.S. Strengthens Security Relations - The Presidential Prayer Team,ALTO,18/03 5:30,https://news.google.com/rss/articles/CBMitwFBVV95cUxPRlVlV3ZCdXdqNEtiU3pyTEgzbHFZZGJfNUVJd2I2a09tUTM0SXh2X19ISWdubW5xZXdYRDhUVnFJWXNRdnZtLUo5VnZ5NHdxNmJNUmtSQW1xdkcxZ3haelVNTkhVR3VycGJ6X29ubDZDX1lyQVVYMlVMTlVrMHFrSWF1eWNCTGZtZzc3YkdiRlhObFRjaFBramx0YVFWSzlHM0c5NERaMTg0LTFiRzhlVjZTTy11LXc?oc=5
ESTADOS UNIDOS,FBI,Inteligencia,"FBI is buying data that can be used to track people, Patel says - Politico",MEDIO,18/03 13:50,https://news.google.com/rss/articles/CBMijAFBVV95cUxNQTQtTTFYMlM0RkJWWjYxN294cXZaaEtNSmpRLVlpdTI5Rno5VkpxRzFWSWpLR2MweloyWXVreWJaYTFxUWNKUnA4SHRmY2l5VkgwTlhEWDQzc29tUUMtNjBqNmo2WnRLaG1pYnJ6a3d2SDJFRHJGZi1iTnlaSjBGVEI2ZGVOcHZrMkRHbA?oc=5
ESTADOS UNIDOS,FBI,Inteligencia,National Security Officials Testify on Global Threats to the U.S. - C-SPAN,MEDIO,18/03 22:32,https://news.google.com/rss/articles/CBMitwFBVV95cUxNMEZSV3RKUDdQZTg4R1NLMXJ2ejU0bEF4Tld3NEZwS292S3lScnRNY3dCb183U1FiVjh2UFVHdDF4RWljc3ZIbFdOenlZNThKRGJrRFk3bWl3MEN0MExXWFM5SnZldzJma3dyS1hUaXAyRzhLZGJYb2ZjTjZNYVlHODBOaGFkZ2U5NWJJUmNUbEF1QjhVY1lINzh4VVF2SWZSQW9JWi01WDE0OXhOQ2FYYVJQTTZwd1U?oc=5
ESTADOS UNIDOS,FBI,Inteligencia,"FBI and IRS to investigate nonprofit groups for domestic terrorism links, sources say - CBS News",MEDIO,18/03 14:46,https://news.google.com/rss/articles/CBMijgFBVV95cUxPMzBaWEpUTTg2QUI0ZVR5N29SZkwycEVkaW9WZjhlYXlYaG9SbDlGTHBjQmVTRzF0bzVDdGVSUEpSd3FiZVFjRGI5UHZUOVlnUHJpazRtUElZcVM0WmItRHFFRXluTlZ3bUY4dGJJVmtRLVg1ZnoyREZocXlKclhwSHNpeTU4bThKdUw3UWR30gGTAUFVX3lxTE1EYXliNG12NVFGTHd1WURNN2ZwMHlPekk1LUl4NWtzeFk5S250aENNdl9uX3FhRWNxVWMxS3NteEtxNVRjZmtBenNkaTExQUY4b21jcDA3ZGpIWGZsNVhsLUJydU1WS0IxcUgzTlMxRHBUY0VNM2trU19MVmk2VGJBS1QwcXR6WGxEVW1qTDh0Sy1hUQ?oc=5
ESTADOS UNIDOS,FBI,Inteligencia,"FBI investigating US counter-terrorism chief who resigned over Iran war, reports say - The Guardian",MEDIO,19/03 9:19,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQVDluQVo3R2VUak51ZUpTMWxIN1JGeEF0Z0lkdGl3MzRabEcwZ25CWWpNS3o1NHVlQWo5QjBaNE1pTHJWdVVzMklWaDhmaVpoNkxTaDYtRzN0OTdpQVFZbWlzUUFaQl9pWExRZnBndVFHZGRKR2JKWC1MSGtIbFFLUjdOSWRMaDJPcFBKS3RMRHlJZkZBTTVLTW9wbjRucy1USXhZMVctOXVyZFlZcm9XUTZydVhiVVg3d3VVb0NuT2M3dw?oc=5
ESTADOS UNIDOS,FBI,Ciberinteligencia,"FBI launches 'leak' investigation into top counterterrorism official who resigned over Iran war, reports say - KGW",MEDIO,19/03 9:38,https://news.google.com/rss/articles/CBMijgJBVV95cUxQNTNuNUtQSVV5VUg1VlN3LWVCWkJYeTQ5VmdCN1BRc0VqRlc1RnEwd2pNLVBXbV9zaGN1VVozb2lvX3RGUTNLWFF0OHBTVnlocTNibHZQVy1uWXZRRXhHRjlqOXI0a19IMjl6eGF5Mk9GT0Frcmt4X2s1MXpKdWVnT1MtWURLYmh5eFdGLVpRZXZFSWNRdmJKbkFYVVE3RE12SVBHT0RFaWsyWHpxTDM1ZWNPZlVUOUhPdXJjVlBSLXpsQlR2TXZ4RlN2WkFQLUZJY3lyRU1ZWTlHTHNsWlktWjhJNXNTdDZyb3dNMVJ0WUwyc2QxY1c1NWRiTmRGNkV4bWhEY1RhRHhoQnBMMXc?oc=5
ESTADOS UNIDOS,FBI,Inteligencia,FBI investigating ex-National Counter-Terrorism Center Director Joe Kent - KHOU,MEDIO,19/03 8:03,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNM2lDRjRIenU2dUMyRkgtSU5CV3g2SWozbGVIV05BczgwSC12WXRCSzRQai1iNURWNmhaMloxcW5NV2R3N0dJR0NXX0t1cGU3VHpqcF85QlB2U2dfaTlVR2pzUVdweVUwYkdncHphQlJZZzJPY3hNMDNnYkN5eUNpbWtvdjVmb3RYMDBLY29NS1dYS3E5eE90VTdSNzJlbjYwZjV0NTE0ZEN4SVA2YjdRd0hldlo0enhiRUoyX1g3a1NSTGJpMC0yMlRFWlU1VXIwY01iN3hsdW1DVTFGd1BBcklGeVAtZ0dFZjRTRW1VQQ?oc=5
ESTADOS UNIDOS,DIA / ODNI,Inteligencia,"Sen. Ossoff Presses Director of National Intelligence on Imminent Threat Posed by Iran, Fulton County Raid - Senator Jon Ossoff (.gov)",MEDIO,18/03 20:03,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPa0hQeVp0dnM5d0FWTWdJeEtwc1dJSC05aFpvemVMVFl6NWJ1MTN5akV5dlRNNV9UblhVbmgyNXMxWW42cVdnR0xyNlY4YWJra0pRenkxWlhBb09xMXBmMEI2V1RyU0RiVnEyX2NVNk1LQkZ0SktvYTA4cTlydnh3Y2Y1MkdwSjhxVk9ycTB5Mm54Ti0yV2hDYWdLVEVDOTBMRUpNVjBiV2NIVXc0NjI2UGY5YkhhN29KT0h0NW5oOHNxU3YwaHVBYjRydnpyZlAydFdjNTJlQ29JeFRhMm5fcGFyeXU?oc=5
